NO_MUNICIPIO;CO_MUNICIPIO;POP_Censo_2010;POP_Censo_2022;QT_MAT_INF_19;QT_MAT_INF_20;QT_MAT_INF_21;QT_MAT_INF_22;QT_MAT_FUND_19;QT_MAT_FUND_20;QT_MAT_FUND_21;QT_MAT_FUND_22;QT_MAT_EJA_FUND_19;QT_MAT_EJA_FUND_20;QT_MAT_EJA_FUND_21;QT_MAT_EJA_FUND_22;QT_MAT_ESP_19;QT_MAT_ESP_20;QT_MAT_ESP_21;QT_MAT_ESP_22;QT_MAT_INF_INT_19;QT_MAT_INF_INT_20;QT_MAT_INF_INT_21;QT_MAT_INF_INT_22;QT_MAT_FUND_INT_19;QT_MAT_FUND_INT_20;QT_MAT_FUND_INT_21;QT_MAT_FUND_INT_22
Abaíra;2900108;8.324; 7.290 ;208;221;222;226;827;788;764;757;19;32;43;18;42;39;51;62;0;0;0;0;0;0;19;0
Abaré;2900207;17.072; 18.766 ;792;812;718;838;2993;2959;2939;2861;253;222;63;126;39;44;49;67;0;0;0;0;0;0;0;0
Acajutiba;2900306;14.830; 13.715 ;536;686;599;481;2021;2400;2039;1929;216;240;218;171;64;89;77;91;387;416;446;361;366;353;357;298
Adustina;2900355;15.706; 14.166 ;434;483;404;501;1966;1980;1865;1758;236;187;133;450;35;37;34;95;0;0;0;0;136;1;0;22
Água Fria;2900405;15.726; 17.398 ;618;641;689;605;2122;2077;2187;2098;269;244;262;191;112;103;108;131;86;77;94;98;223;0;0;34
Aiquara;2900603;4.602; 4.566 ;183;183;249;257;569;552;572;589;97;91;134;473;22;26;25;44;0;0;0;6;73;0;1;20
Alagoinhas;2900702;142.160; 157.864 ;2650;5360;3200;3047;8566;20616;9501;9306;1212;1674;1427;1038;307;776;358;385;880;891;1152;1093;553;345;10;415
Alcobaça;2900801;21.319; 23.633 ;836;929;841;891;3856;3972;3884;3844;411;377;394;442;510;504;479;451;91;85;174;218;757;0;0;174
Almadina;2900900;6.360; 5.195 ;214;208;227;250;720;661;653;625;111;120;98;82;13;16;12;25;135;110;152;162;433;0;0;0
Amargosa;2901007;34.340; 36.260 ;1319;1564;1514;1555;3420;4878;3755;3710;301;547;325;226;274;307;285;348;634;636;768;838;223;238;335;404
Amélia Rodrigues;2901106;25.190; 23.639 ;883;1101;857;827;2488;3325;2502;2385;361;348;318;229;135;145;157;172;474;501;611;482;2417;2393;2502;2350
América Dourada;2901155;15.952; 15.104 ;892;916;1009;945;2469;2377;2405;2386;131;218;195;226;44;220;219;183;127;104;99;82;1271;183;99;124
Anagé;2901205;25.500; 25.452 ;681;680;595;624;2820;2742;2703;2559;173;129;489;302;105;110;147;147;197;182;167;202;200;313;203;192
Andaraí;2901304;13.948; 13.406 ;497;524;441;529;2110;2036;2028;1888;144;109;62;50;98;112;93;154;259;260;214;270;892;949;519;850
Andorinha;2901353;14.417; 15.011 ;558;660;646;656;1909;2213;1910;1772;435;353;1413;1483;131;116;145;207;320;332;482;496;0;0;0;1067
Angical;2901403;14.073; 14.973 ;605;567;664;640;2066;2089;2046;1981;88;0;122;59;50;54;67;71;0;0;0;101;0;0;0;0
Anguera;2901502;10.248; 11.019 ;382;397;428;405;1142;1227;1165;1099;277;141;251;330;44;50;47;42;10;9;11;10;0;0;0;1
Antas;2901601;17.078; 14.453 ;686;673;743;765;1383;1399;1331;1240;934;1144;1713;2379;62;59;93;135;390;360;478;483;165;77;0;28
