NO_MUNICIPIO;CO_MUNICIPIO;QT_MAT_BAS;QT_MAT_INF;QT_MAT_INF_CRE;QT_MAT_INF_PRE;QT_MAT_FUND;QT_MAT_FUND_AI;QT_MAT_FUND_AF;QT_MAT_MED;QT_MAT_PROF;QT_MAT_PROF_TEC;QT_MAT_EJA;QT_MAT_EJA_FUND;QT_MAT_EJA_MED;QT_MAT_ESP;QT_MAT_ESP_CC;QT_MAT_ESP_CE;QT_MAT_INF_INT;QT_MAT_INF_CRE_INT;QT_MAT_INF_PRE_INT;QT_MAT_FUND_INT;QT_MAT_FUND_AI_INT;QT_MAT_FUND_AF_INT;QT_MAT_MED_INT
Abaíra;2900108;68;68;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaíra;2900108;223;0;0;0;223;223;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0
Abaíra;2900108;167;25;0;25;142;79;63;0;0;0;0;0;0;18;18;0;0;0;0;0;0;0;0
Abaíra;2900108;111;15;0;15;96;56;40;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0
Abaíra;2900108;105;19;0;19;86;42;44;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0
Abaíra;2900108;228;0;0;0;210;0;210;0;0;0;18;18;0;12;12;0;0;0;0;0;0;0;0
Abaíra;2900108;99;99;99;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0
Abaré;2900207;69;17;0;17;33;33;0;0;0;0;19;19;0;1;1;0;0;0;0;0;0;0;0
Abaré;2900207;27;8;0;8;7;7;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0
Abaré;2900207;37;11;0;11;26;26;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Abaré;2900207;74;20;0;20;54;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaré;2900207;245;19;0;19;226;69;157;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0
Abaré;2900207;644;0;0;0;631;0;631;0;0;0;13;13;0;9;9;0;0;0;0;0;0;0;0
Abaré;2900207;31;18;0;18;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaré;2900207;24;8;0;8;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaré;2900207;101;26;0;26;61;61;0;0;0;0;14;14;0;2;2;0;0;0;0;0;0;0;0
Abaré;2900207;202;0;0;0;202;202;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0
Abaré;2900207;245;0;0;0;245;245;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0
Abaré;2900207;199;0;0;0;199;199;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0
Abaré;2900207;21;3;0;3;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaré;2900207;175;25;0;25;150;71;79;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0
Abaré;2900207;438;0;0;0;403;0;403;0;0;0;35;35;0;11;11;0;0;0;0;0;0;0;0
Abaré;2900207;180;0;0;0;180;180;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0
Abaré;2900207;59;24;0;24;35;35;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Abaré;2900207;194;26;0;26;168;51;117;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
Abaré;2900207;34;4;0;4;20;20;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0
Abaré;2900207;216;216;18;198;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0
Abaré;2900207;191;191;34;157;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0
Abaré;2900207;148;0;0;0;148;148;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0
Abaré;2900207;217;217;217;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0
Abaré;2900207;54;5;0;5;26;26;0;0;0;0;23;23;0;1;1;0;0;0;0;0;0;0;0
Acajutiba;2900306;1126;0;0;0;976;0;976;0;0;0;150;150;0;45;45;0;0;0;0;0;0;0;0
Acajutiba;2900306;122;14;0;14;108;108;0;0;0;0;0;0;0;7;7;0;0;0;0;0;0;0;0
Acajutiba;2900306;137;27;0;27;89;89;0;0;0;0;21;21;0;5;5;0;0;0;0;0;0;0;0
Acajutiba;2900306;120;16;0;16;104;104;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
Acajutiba;2900306;82;0;0;0;82;82;0;0;0;0;0;0;0;2;2;0;0;0;0;82;82;0;0
Acajutiba;2900306;80;0;0;0;80;80;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0
Acajutiba;2900306;109;0;0;0;109;109;0;0;0;0;0;0;0;7;7;0;0;0;0;109;109;0;0
Acajutiba;2900306;158;23;0;23;135;135;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0
Acajutiba;2900306;51;0;0;0;51;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acajutiba;2900306;104;16;0;16;88;88;0;0;0;0;0;0;0;4;4;0;1;0;1;0;0;0;0
Acajutiba;2900306;25;25;11;14;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Acajutiba;2900306;90;90;40;50;0;0;0;0;0;0;0;0;0;0;0;0;90;40;50;0;0;0;0
Acajutiba;2900306;106;106;83;23;0;0;0;0;0;0;0;0;0;2;2;0;106;83;23;0;0;0;0
Acajutiba;2900306;107;0;0;0;107;107;0;0;0;0;0;0;0;1;1;0;0;0;0;107;107;0;0
Acajutiba;2900306;132;132;61;71;0;0;0;0;0;0;0;0;0;5;5;0;132;61;71;0;0;0;0
Acajutiba;2900306;32;32;14;18;0;0;0;0;0;0;0;0;0;0;0;0;32;14;18;0;0;0;0
Adustina;2900355;643;0;0;0;474;0;474;38;38;38;131;131;0;5;5;0;0;0;0;3;0;3;0
