,data,pib_agro,pib_brasil,agro_brasil,ano,des_bndes,var_agro,var_br,var_bn
0,1996-01-01,297653,854763,34.8228690291929,1996,4704,,,
1,1997-01-01,298507,952089,31.3528462150072,1997,7830,0.002869112691624043,0.11386314101101713,0.6645408163265305
2,1998-01-01,298722,1002351,29.8021351801914,1998,7953,0.0007202511163892922,0.052791283167855196,0.015708812260536442
3,1999-01-01,319589,1087710,29.3818205220141,1999,8033,0.0698542457535769,0.08515879168075857,0.0100590971960266
4,2000-01-01,365411,1199092,30.473975307983,2000,10664,0.1433779009915861,0.10240045600389802,0.32752396364994407
5,2001-01-01,395196,1315755,30.0356829348929,2001,16147,0.08151095615621862,0.09729278487388782,0.5141597899474868
6,2002-01-01,448823,1488787,30.1468913954783,2002,24575,0.1356972236561098,0.13150776550345622,0.5219545426394996
7,2003-01-01,523607,1717950,30.4785936726913,2003,24824,0.1666224770120961,0.1539259813526046,0.010132248219735462
8,2004-01-01,536436,1957751,27.400624492083,2004,43278,0.024501200327726735,0.13958555254809513,0.7433934901708024
9,2005-01-01,529142,2170584,24.3778632847197,2005,27221,-0.013597148588088803,0.10871300793614713,-0.37101991774111553
10,2006-01-01,561712,2409449,23.3128819078553,2006,22052,0.06155247551696896,0.11004642068678283,-0.18989015833363942
11,2007-01-01,616584,2720262,22.6663461093086,2007,31150,0.09768707095451057,0.12899754259168805,0.4125702884092146
12,2008-01-01,702798,3109803,22.5994379708297,2008,35241,0.13982523062551078,0.143199809430121,0.13133226324237568
13,2009-01-01,712409,3333039,21.374157338093,2009,40582,0.01367533772150753,0.0717846114368017,0.15155642575409334
14,2010-01-01,833541,3885847,21.4506901584133,2010,64447,0.1700315408704831,0.1658570451770891,0.5880686018431818
15,2011-01-01,908091,4376381,20.7498158866881,2011,61677,0.08943771212213925,0.12623605612881827,-0.042981054199574875
16,2012-01-01,921472,4814759,19.1384864746086,2012,64740,0.014735307364570183,0.10016906663290981,0.04966194853835293
17,2013-01-01,1004411,5331618,18.8387652678793,2013,120149,0.09000707563550492,0.1073488828828193,0.8558696323756565
18,2014-01-01,1078951,5778953,18.670354301203,2014,104845,0.07421264800962946,0.08390229757645806,-0.12737517582335267
19,2015-01-01,1207048,5995787,20.1316024068233,2015,90749,0.11872364917405887,0.037521329555717076,-0.13444608708092898
20,2016-01-01,1397911,6269328,22.2976210528465,2016,85383,0.15812378629515966,0.04562220105550785,-0.05913012815568219
21,2017-01-01,1366714,6585478,20.7534517615881,2017,90653,-0.022316871388808,0.05042805225695646,0.06172188843212356
22,2018-01-01,1408230,7004141,20.1056774842197,2018,82803,0.03037650891115473,0.06357366921581087,-0.08659393511521962
23,2019-01-01,1518936,7407023,20.5067001952066,2019,92668,0.07861357874778974,0.05752054391823358,0.11913819547600935
24,2020-01-01,1978894,7447858,26.5699748840539,2020,88531,0.302815918511379,0.0055130110977108515,-0.04464324254327279
